task_lang,transfer_lang,accuracy,f1_score
fr,en,0.7593,0.7585
hi,en,0.679,0.6783
ru,en,0.7283,0.7274
sw,en,0.6639,0.6635
th,en,0.6743,0.6686
tr,en,0.7014,0.7005
ur,en,0.6601,0.659
vi,en,0.7032,0.7012
zh,en,0.6952,0.6928
en,es,0.784,0.7837
ar,es,0.6864,0.685
bg,es,0.7385,0.7384
de,es,0.7267,0.7266
el,es,0.7293,0.729
es,es,0.7597,0.7596
fr,es,0.7405,0.7399
hi,es,0.6768,0.6762
ru,es,0.718,0.717
sw,es,0.6563,0.6561
th,es,0.675,0.673
tr,es,0.69,0.6888
ur,es,0.6571,0.6567
vi,es,0.6982,0.6971
zh,es,0.7068,0.7058
en,fr,0.798,0.7971
ar,fr,0.6936,0.6921
bg,fr,0.7427,0.742
de,fr,0.7439,0.7438
el,fr,0.7485,0.748
es,fr,0.7589,0.7583
fr,fr,0.7681,0.7675
hi,fr,0.691,0.6907
ru,fr,0.7315,0.7309
sw,fr,0.6639,0.663
th,fr,0.6864,0.6841
tr,fr,0.6986,0.6974
ur,fr,0.6601,0.6597
vi,fr,0.7118,0.711
zh,fr,0.7076,0.7065
en,hi,0.7265,0.7136
ar,hi,0.675,0.6679
bg,hi,0.7281,0.7256
de,hi,0.7273,0.7262
el,hi,0.7337,0.7321
es,hi,0.7176,0.7094
fr,hi,0.7032,0.6913
hi,hi,0.7042,0.7034
ru,hi,0.7146,0.7111
sw,hi,0.6613,0.6578
th,hi,0.6752,0.671
tr,hi,0.7062,0.7046
ur,hi,0.6804,0.6799
vi,hi,0.7042,0.703
zh,hi,0.688,0.6812
en,ru,0.7912,0.7899
ar,ru,0.6972,0.6952
bg,ru,0.7505,0.7495
de,ru,0.7477,0.7472
el,ru,0.7501,0.7485
es,ru,0.7561,0.7547
fr,ru,0.7477,0.7447
hi,ru,0.6902,0.6894
ru,ru,0.7475,0.7469
sw,ru,0.6653,0.6641
th,ru,0.6906,0.6892
tr,ru,0.7084,0.7069
ur,ru,0.6701,0.6697
vi,ru,0.7132,0.712
zh,ru,0.7116,0.7098
en,sw,0.7116,0.7094
ar,sw,0.6559,0.6536
bg,sw,0.6884,0.6871
de,sw,0.6888,0.6878
el,sw,0.6892,0.688
es,sw,0.694,0.6922
fr,sw,0.6796,0.6757
hi,sw,0.6451,0.6441
ru,sw,0.6737,0.6727
sw,sw,0.6461,0.6453
th,sw,0.6617,0.6614
tr,sw,0.6485,0.6442
ur,sw,0.6319,0.6311
vi,sw,0.6683,0.6676
zh,sw,0.6695,0.668
en,th,0.7764,0.7735
ar,th,0.693,0.6916
bg,th,0.7347,0.7314
de,th,0.7277,0.7269
el,th,0.7337,0.7315
es,th,0.7441,0.7412
fr,th,0.7297,0.7261
hi,th,0.6818,0.6808
ru,th,0.7204,0.7196
sw,th,0.6705,0.669
th,th,0.7208,0.7203
tr,th,0.6844,0.6805
ur,th,0.6687,0.668
vi,th,0.7136,0.7124
zh,th,0.7068,0.7032
en,tr,0.7325,0.7248
ar,tr,0.6427,0.6357
bg,tr,0.711,0.7084
de,tr,0.7146,0.7126
el,tr,0.7094,0.7066
es,tr,0.7275,0.7232
fr,tr,0.707,0.6994
hi,tr,0.6709,0.6688
ru,tr,0.693,0.6907
sw,tr,0.6291,0.6233
th,tr,0.6579,0.655
tr,tr,0.725,0.7243
ur,tr,0.6593,0.6576
vi,tr,0.6756,0.6722
zh,tr,0.6842,0.6818
en,ur,0.4902,0.4676
ar,ur,0.4621,0.4244
bg,ur,0.5002,0.4863
de,ur,0.4625,0.4154
el,ur,0.4479,0.3863
es,ur,0.482,0.4622
fr,ur,0.4493,0.4094
hi,ur,0.5146,0.505
ru,ur,0.4838,0.4527
sw,ur,0.4461,0.4073
th,ur,0.4447,0.3889
tr,ur,0.4743,0.4338
ur,ur,0.5283,0.526
vi,ur,0.4423,0.3853
zh,ur,0.4387,0.3711
en,vi,0.7633,0.7596
ar,vi,0.698,0.697
bg,vi,0.7407,0.7392
de,vi,0.7275,0.7262
el,vi,0.7357,0.7347
es,vi,0.7425,0.7401
fr,vi,0.7349,0.7323
hi,vi,0.6822,0.6817
ru,vi,0.7178,0.7164
sw,vi,0.6673,0.6672
th,vi,0.6924,0.692
tr,vi,0.6842,0.6815
ur,vi,0.6613,0.6612
vi,vi,0.7285,0.7287
zh,vi,0.6928,0.6888
en,zh,0.7798,0.7775
ar,zh,0.69,0.686
bg,zh,0.7335,0.7314
de,zh,0.7303,0.7288
el,zh,0.7299,0.7273
es,zh,0.7373,0.7333
fr,zh,0.7351,0.7317
hi,zh,0.6882,0.6867
ru,zh,0.7224,0.7209
sw,zh,0.6611,0.6569
th,zh,0.7008,0.6983
tr,zh,0.6992,0.6947
ur,zh,0.6705,0.6686
vi,zh,0.7148,0.713
zh,zh,0.7315,0.7284
