task_lang,transfer_lang,accuracy,f1_score
ja,ar,0.1754,0.527742510471125
uz,ar,0.763,0.837004045954046
lb,ar,0.58,0.7733547018341135
mwl,ar,0.32,0.582974913974914
uk,ar,0.5898,0.7906711254878591
ckb,ar,0.598,0.7423209179709179
dv,ar,0.11,0.4502610722610722
pa,ar,0.49,0.7061855133170922
bar,ar,0.68,0.7834603174603175
fr,ar,0.5843,0.8127755429726793
my,ar,0.18,0.5773520923520923
qu,ar,0.5,0.6563127705627706
hsb,ar,0.49,0.705777417027417
hak,ar,0.22,0.3436349206349206
tl,ar,0.517,0.6873139703433822
nl,ar,0.6408,0.8266556005569939
hu,ar,0.5972,0.8107902059069242
min,ar,0.26,0.6491883116883117
tr,ar,0.6231,0.8091458162228209
ps,ar,0.29,0.58299555999556
zea,ar,0.47,0.6893434343434344
oc,ar,0.65,0.7426427461427462
ace,ar,0.23,0.4988354978354978
bat-smg,ar,0.43,0.5531587301587301
de,ar,0.5914,0.7983960947635096
bn,ar,0.679,0.7710980248337834
mi,ar,0.34,0.6613333333333332
zh,ar,0.2769,0.603223967290879
lv,ar,0.6058,0.7722843116197528
pms,ar,0.51,0.7349377028200559
cs,ar,0.5998,0.8075596300182446
ia,ar,0.44,0.6857398353280706
sk,ar,0.5965,0.8042599909773749
be-x-old,ar,0.56,0.7304339526314759
csb,ar,0.44,0.6459678932178932
ne,ar,0.42,0.7080555175818334
war,ar,0.47,0.6579464979464978
ro,ar,0.5015,0.7882560822064073
mzn,ar,0.38,0.6813143523143524
als,ar,0.41,0.6939558544310868
es,ar,0.6018,0.822810897645526
tt,ar,0.463,0.7423322525513701
zh-min-nan,ar,0.4,0.5277630572042337
io,ar,0.59,0.7103039738039739
as,ar,0.55,0.671187368187368
vec,ar,0.57,0.7290191197691197
ln,ar,0.4,0.5368650793650793
sd,ar,0.22,0.5931150516150516
mn,ar,0.54,0.7229297924297924
hy,ar,0.464,0.7453779397073514
co,ar,0.52,0.6551818181818182
el,ar,0.6577,0.8069844702975043
tk,ar,0.5,0.6606507936507937
be,ar,0.652,0.82163117467328
jv,ar,0.54,0.7681385281385282
hr,ar,0.5718,0.7843340379211431
bh,ar,0.47,0.6847734487734488
crh,ar,0.33,0.6001688311688311
ru,ar,0.404,0.691384801012541
yo,ar,0.53,0.6323997113997115
ceb,ar,0.51,0.6562769452769452
ilo,ar,0.52,0.6548130203130204
sv,ar,0.5466,0.8183514585560637
ext,ar,0.5,0.6531428571428571
kn,ar,0.5,0.701047619047619
vi,ar,0.5054,0.7653941483980415
te,ar,0.392,0.6647036659247185
sa,ar,0.23,0.5138253968253967
mg,ar,0.28,0.6464333999333998
jbo,ar,0.34,0.4513333333333332
ko,ar,0.3757,0.6488019878865543
am,ar,0.31,0.4790987345987346
sh,ar,0.4742,0.7270029215048797
nap,ar,0.48,0.6084166666666666
he,ar,0.507,0.7387828616086355
mr,ar,0.564,0.776096000404824
ang,ar,0.4,0.6069343434343434
la,ar,0.633,0.7855043234543234
kk,ar,0.331,0.7036279109779109
hi,ar,0.62,0.7520747947958474
cy,ar,0.473,0.7374827945016799
fur,ar,0.43,0.6061464646464646
ur,ar,0.571,0.7465918341462459
is,ar,0.554,0.7812626900876901
pt,ar,0.5893,0.7953304821494296
cv,ar,0.47,0.7293128538128538
diq,ar,0.39,0.6068448773448772
id,ar,0.4085,0.659110086236433
it,ar,0.5945,0.8155076330240106
frr,ar,0.38,0.5896190476190476
fo,ar,0.56,0.7760759430627852
bo,ar,0.0,0.1727857142857142
fy,ar,0.603,0.7750997905517255
az,ar,0.564,0.7698091021723374
nov,ar,0.31,0.7138467023172906
cdo,ar,0.1,0.2661875901875902
ky,ar,0.32,0.5886378066378066
ksh,ar,0.4,0.631829365079365
an,ar,0.592,0.8233859973359975
bs,ar,0.555,0.7878141466204934
ig,ar,0.38,0.5437965367965368
sah,ar,0.39,0.5413095238095238
so,ar,0.46,0.6543333333333333
vls,ar,0.55,0.8001110001110001
ms,ar,0.484,0.6807134703359936
li,ar,0.53,0.7375263347763348
or,ar,0.08,0.3147853535353535
pnb,ar,0.67,0.7403322788322788
sr,ar,0.5813,0.82539765262773
zh-yue,ar,0.3604,0.6075044739617107
xmf,ar,0.48,0.6853369408369409
fi,ar,0.5493,0.7962145172302758
wa,ar,0.32,0.4736190476190475
sw,ar,0.412,0.6223714509346862
nn,ar,0.579,0.7931569177210818
pdc,ar,0.41,0.6090238095238095
ce,ar,0.12,0.526141081141081
gn,ar,0.5,0.6170714285714286
ca,ar,0.6703,0.8440814135572029
yi,ar,0.3,0.6106984126984127
gl,ar,0.6548,0.8341225106515432
ast,ar,0.668,0.8240284617171615
sq,ar,0.695,0.8550518319743553
ay,ar,0.53,0.6071744921744922
arz,ar,0.6,0.7742062382062384
eo,ar,0.5647,0.7575623757434516
fa,ar,0.5435,0.8257767859325057
no,ar,0.5952,0.8049592196546144
tg,ar,0.45,0.7165566567934989
zh-classical,ar,0.45,0.5825715264267896
km,ar,0.14,0.4558809523809523
rm,ar,0.49,0.6750991165697049
ug,ar,0.12,0.3842171717171717
pms,az,0.53,0.7335999207191157
ky,az,0.4,0.6221190476190476
te,az,0.536,0.7022380898341426
ca,az,0.6202,0.7947805261018651
scn,az,0.56,0.7400529470529471
mt,az,0.49,0.7855080213903745
mhr,az,0.39,0.6261940836940838
cv,az,0.6,0.7886752136752136
be-x-old,az,0.533,0.716373310375555
jv,az,0.52,0.7226215940921824
eu,az,0.5496,0.7924740345310005
mwl,az,0.3,0.6092080142080142
vec,az,0.53,0.7246050732892837
pa,az,0.48,0.6653100608541785
he,az,0.4127,0.6891069171755316
lb,az,0.456,0.6995807888190241
an,az,0.669,0.7892090937871897
simple,az,0.555,0.7846013294926608
co,az,0.58,0.6563150183150184
pnb,az,0.6,0.7164999999999999
lmo,az,0.36,0.6859504238451608
af,az,0.528,0.7440932428510602
bh,az,0.57,0.7280785325785325
ro,az,0.5412,0.7767860492294083
gd,az,0.35,0.517027417027417
eo,az,0.5239,0.7404017047830052
ka,az,0.5848,0.7827782646541624
qu,az,0.5,0.6142752715121136
os,az,0.33,0.6288520923520923
diq,az,0.31,0.5512698412698412
fo,az,0.52,0.7576053770790614
vo,az,0.38,0.5102222222222221
my,az,0.23,0.6049637551990493
bg,az,0.5446,0.7561938085950857
tl,az,0.527,0.6787870568801684
tk,az,0.59,0.6981536796536797
pdc,az,0.4,0.5514682539682539
uz,az,0.781,0.8386293706293707
en,az,0.3846,0.6913314625862614
ku,az,0.63,0.7647258297258297
ms,az,0.429,0.5843230876364778
ug,az,0.42,0.5841269841269842
cy,az,0.483,0.6731998310513015
rw,az,0.56,0.6844657499363381
kn,az,0.61,0.7459126984126985
ceb,az,0.61,0.7164281566386831
ko,az,0.3458,0.6131503875656508
hak,az,0.31,0.4120793650793651
csb,az,0.43,0.5830561017929439
rm,az,0.55,0.7319886224886224
et,az,0.5515,0.7730045785466684
tt,az,0.612,0.8145799770147294
mk,az,0.594,0.7879811331942912
gan,az,0.33,0.5995555555555555
ce,az,0.15,0.6468863913863914
sl,az,0.5057,0.7178683263013217
hy,az,0.56,0.7256004582019289
fr,az,0.5414,0.7643069504953252
ilo,az,0.46,0.6464709179709179
gl,az,0.6344,0.7901223795975267
bar,az,0.59,0.7308492063492064
zea,az,0.45,0.6874025974025976
als,az,0.36,0.7357244739264864
io,az,0.5,0.6590396825396826
gu,az,0.56,0.7600536685536686
mi,az,0.35,0.6601459096459097
fy,az,0.554,0.7586375129256707
bs,az,0.558,0.7898855644699299
ig,az,0.49,0.5916298701298701
mg,az,0.39,0.7877069597069597
ga,az,0.541,0.7522206886766485
sw,az,0.475,0.6318079103730806
fiu-vro,az,0.43,0.6716562261268144
ne,az,0.46,0.7563505807917572
map-bms,az,0.49,0.6115238095238095
ia,az,0.43,0.6615301104124633
eml,az,0.36,0.5134760152128574
hi,az,0.629,0.7852366468326994
zh,az,0.2482,0.6311862872842672
ext,az,0.35,0.5031777111777113
ba,az,0.64,0.7685707070707071
tr,az,0.6118,0.797010909315143
no,az,0.5896,0.7896983620344223
bn,az,0.638,0.7380092075623036
fa,az,0.614,0.8009984324232698
ang,az,0.46,0.589717971399086
hu,az,0.571,0.7979296685143202
ln,az,0.43,0.5360722545428428
ace,az,0.32,0.535019203019203
mn,az,0.58,0.750068931068931
oc,az,0.54,0.6948619158619158
war,az,0.57,0.7256665556665556
nds,az,0.48,0.7246825396825399
vi,az,0.455,0.7413525297939075
bo,az,0.14,0.2813333333333333
lt,az,0.5875,0.7856829931377531
fur,az,0.46,0.5916642246642246
be,az,0.581,0.7777648683016329
nov,az,0.49,0.7766227400050931
zh-min-nan,az,0.38,0.5254474136974137
si,az,0.49,0.6717697302697303
lij,az,0.36,0.5828744311244312
arz,az,0.52,0.7495885225885226
li,az,0.63,0.7509455456823879
or,az,0.27,0.5727068487068486
vls,az,0.52,0.7405497835497834
vep,az,0.32,0.6701945569050832
cbk-zam,az,0.32,0.6811451326451327
sh,az,0.5087,0.7104521525799622
uk,az,0.5598,0.7936755035770903
su,az,0.29,0.6117240537240537
id,az,0.3621,0.632587291196076
pl,az,0.5306,0.7710364774613071
sd,az,0.4,0.7325805305805306
la,az,0.58,0.7786091884895291
arc,az,0.17,0.3129761904761905
sk,az,0.621,0.8152929591701727
th,az,0.0898,0.3122747613128185
min,az,0.24,0.6024992784992784
crh,az,0.55,0.7137860472860473
ml,az,0.63,0.7877698828948828
zh-yue,az,0.2798,0.6250608506526153
am,az,0.41,0.5746298701298701
it,az,0.4666,0.7431682428871438
sr,az,0.5337,0.7462204724240328
nn,az,0.586,0.781520786368774
nl,az,0.5845,0.7894635132583274
hr,az,0.5313,0.7665434177956546
hsb,az,0.36,0.6443047975416397
ay,az,0.54,0.59882326007326
ps,az,0.46,0.6616287601287602
ru,az,0.3957,0.6818014053799658
yi,az,0.37,0.6290396825396826
as,az,0.49,0.6389962844173369
da,az,0.5737,0.785409247102227
tg,az,0.49,0.721823953823954
ckb,az,0.562,0.7127796203796204
lv,az,0.5268,0.7333730303485644
zh-classical,az,0.23,0.5723433641521877
ksh,az,0.38,0.5833475325843747
br,az,0.387,0.5895083840222385
ar,az,0.4841,0.7235018105741867
km,az,0.26,0.4675531135531136
jbo,az,0.33,0.431
mr,az,0.604,0.7780605137724333
cdo,az,0.23,0.378712692536222
yo,az,0.37,0.5257128427128427
so,az,0.63,0.7079047619047618
is,az,0.535,0.771150001898686
sv,az,0.7101,0.8802798385627101
bat-smg,az,0.58,0.6687936507936507
sa,az,0.38,0.5939920634920635
mzn,az,0.21,0.6675639915639916
ur,az,0.517,0.7517281842340665
ja,az,0.1651,0.5572417969586313
nap,az,0.55,0.6889301166669587
es,az,0.6033,0.7848161793005757
az,az,0.824,0.9083107581788696
fi,az,0.5357,0.7750420612866665
sco,az,0.49,0.705508547008547
sq,az,0.614,0.8123327122224182
frr,az,0.46,0.5769523809523809
ta,az,0.503,0.7269652014652015
szl,az,0.48,0.6088968253968254
pt,az,0.578,0.7611314685426372
wuu,az,0.26,0.5581904761904761
ast,az,0.669,0.8005808488553071
cs,az,0.5039,0.7637728220687122
de,az,0.619,0.8050176085756349
kk,az,0.457,0.7294100843600843
wa,az,0.36,0.4528717948717948
xmf,az,0.48,0.6166111111111111
sah,az,0.59,0.7050329670329671
dv,az,0.36,0.5850010822510822
el,az,0.6417,0.7908622809440301
gn,az,0.49,0.608027306027306
or,be,0.15,0.4564009324009324
zh-classical,be,0.22,0.5409670264376146
ang,be,0.54,0.6699180303700427
hr,be,0.6301,0.8070117352100943
kn,be,0.55,0.7123290043290044
ba,be,0.57,0.7164718614718615
fur,be,0.53,0.6611868686868686
sk,be,0.6016,0.7856766877463781
te,be,0.518,0.6893130480630479
ksh,be,0.49,0.684761544011544
rw,be,0.62,0.7263326118326119
et,be,0.6291,0.817554817607573
mi,be,0.35,0.6740769230769231
gd,be,0.57,0.6591268731268731
lb,be,0.616,0.7817735078904583
mt,be,0.6,0.7470909090909091
rm,be,0.6,0.7459096459096459
nap,be,0.56,0.678056166056166
nds,be,0.62,0.7920135975135976
arz,be,0.54,0.7332063492063492
br,be,0.463,0.6349430190122916
ku,be,0.67,0.7851746031746032
ms,be,0.453,0.6262765275402273
ta,be,0.472,0.6822344198113548
arc,be,0.04,0.2872655122655122
mk,be,0.561,0.7567718546073808
el,be,0.6744,0.7976467631920883
sl,be,0.6724,0.8085890937983584
zea,be,0.61,0.7368412698412699
ky,be,0.5,0.6676984126984127
ast,be,0.707,0.8491202108177341
frr,be,0.53,0.6369523809523809
mn,be,0.53,0.745984701572937
ug,be,0.45,0.5450079365079364
ckb,be,0.55,0.6797630036630037
de,be,0.5878,0.7844335553473014
es,be,0.5157,0.7449262423438274
hsb,be,0.64,0.7948178210678211
bh,be,0.59,0.6779381174381175
ln,be,0.45,0.592311570782159
bar,be,0.67,0.741170634920635
tt,be,0.591,0.7757736182118535
fiu-vro,be,0.51,0.6784456034161918
is,be,0.63,0.805775727050727
ko,be,0.432,0.6584458129770127
ps,be,0.5,0.6421959151959151
bg,be,0.6621,0.8044308098600745
li,be,0.47,0.6588957431457432
vls,be,0.54,0.7613172383172383
tg,be,0.66,0.7795484254307784
eml,be,0.44,0.6038318070818071
sq,be,0.739,0.865950479568591
si,be,0.66,0.7666825396825396
bn,be,0.653,0.7429292416218114
ru,be,0.5851,0.7321436428982094
oc,be,0.55,0.6624962814962815
ca,be,0.648,0.8109311085869755
no,be,0.5922,0.7919982752644672
mwl,be,0.5,0.6853473748473747
crh,be,0.51,0.6578513708513708
ace,be,0.37,0.5574047619047618
wuu,be,0.28,0.5308888888888889
da,be,0.6593,0.829754985130109
yi,be,0.41,0.6597360972360973
sco,be,0.59,0.7723787878787879
sw,be,0.459,0.6312431091182639
th,be,0.0604,0.2724254173208972
cv,be,0.54,0.7426678876678875
sv,be,0.5686,0.8275592246857032
vo,be,0.33,0.4313492063492062
am,be,0.33,0.5216594516594517
scn,be,0.56,0.7527898212898214
pl,be,0.6162,0.8155063314540636
pa,be,0.56,0.6840187590187591
uz,be,0.528,0.69743894993895
be,be,0.864,0.9292048781369988
ro,be,0.6046,0.7973163029892365
vec,be,0.52,0.7232242757242757
ml,be,0.606,0.7530326678223737
hy,be,0.346,0.6150498891459418
io,be,0.69,0.7724663114663115
ay,be,0.38,0.4413791208791208
bo,be,0.04,0.220095238095238
dv,be,0.42,0.6224033189033189
min,be,0.3,0.5898354978354978
eo,be,0.5475,0.7554143969953335
as,be,0.54,0.6479131979131978
fa,be,0.3746,0.7038202827332626
gan,be,0.32,0.5672051282051281
diq,be,0.44,0.689969363969364
cdo,be,0.25,0.3548444300797241
kk,be,0.397,0.7403341687552214
fr,be,0.5579,0.7902658860094154
ia,be,0.51,0.6864577285459638
km,be,0.31,0.4860714285714285
sd,be,0.42,0.7035505050505051
so,be,0.61,0.7255238095238095
wa,be,0.51,0.6201580086580087
ceb,be,0.5,0.6344487473311002
fy,be,0.615,0.7712739536950837
ne,be,0.65,0.8458454878454877
sr,be,0.4334,0.6816570759512245
la,be,0.543,0.6779273971642393
sa,be,0.17,0.3267388167388166
gl,be,0.6681,0.8253489581385249
sh,be,0.5012,0.6511509197158192
zh-min-nan,be,0.36,0.528792957042957
ga,be,0.53,0.7684449276815376
pms,be,0.45,0.7143380508380508
zh-yue,be,0.3212,0.64259566265348
mzn,be,0.48,0.7328008658008658
szl,be,0.56,0.6391904761904762
map-bms,be,0.47,0.5881904761904762
csb,be,0.45,0.6600820568320569
cs,be,0.602,0.8027823641056226
pt,be,0.5326,0.7523584632404059
ja,be,0.1143,0.5320696913775939
sah,be,0.53,0.6777899877899878
uk,be,0.6696,0.8493144772487574
co,be,0.61,0.6942813852813853
vep,be,0.57,0.7720206197311461
he,be,0.4545,0.7078107157342143
eu,be,0.5307,0.7777077785888002
os,be,0.41,0.685934065934066
lij,be,0.45,0.5921277056277056
xmf,be,0.53,0.711866910866911
en,be,0.4687,0.7307422864880218
nl,be,0.6168,0.7983344155560641
be-x-old,be,0.693,0.8246709662714307
gn,be,0.52,0.6545634920634922
ka,be,0.5939,0.7918879967349473
mr,be,0.561,0.737566946941947
ur,be,0.455,0.6842763986013985
war,be,0.52,0.7071629481629482
ce,be,0.35,0.6657666777666779
lv,be,0.6173,0.7923494496439233
nn,be,0.594,0.7889695999906525
id,be,0.4079,0.636150487243235
ar,be,0.4675,0.6755074948744066
simple,be,0.633,0.8319736543985771
yo,be,0.35,0.4281962481962482
hi,be,0.572,0.7528636365096891
zh,be,0.2246,0.6091525486991508
fi,be,0.5832,0.8111672131325846
tk,be,0.64,0.729930735930736
ig,be,0.54,0.6651695526695527
mhr,be,0.52,0.65504329004329
qu,be,0.63,0.7531930014430014
nov,be,0.63,0.8580453990453991
it,be,0.586,0.7941333529946146
an,be,0.618,0.7531331473651907
jv,be,0.51,0.7345179265179266
tr,be,0.6002,0.7768995878424981
az,be,0.543,0.772149833791939
bs,be,0.608,0.8062043682495696
my,be,0.29,0.622008658008658
ext,be,0.4,0.5388051948051948
cbk-zam,be,0.53,0.7121216136804371
vi,be,0.439,0.7432862818373577
su,be,0.44,0.704837285521496
pdc,be,0.46,0.5905396825396826
pnb,be,0.57,0.6658423798423798
hu,be,0.6151,0.8121977140437823
lt,be,0.6802,0.8328378127754597
cy,be,0.526,0.7746323591441238
af,be,0.606,0.7852092152945094
bat-smg,be,0.63,0.7278888888888889
tl,be,0.634,0.7800191734564026
gu,be,0.5,0.7345860250860251
lmo,be,0.37,0.7098040015540016
als,be,0.42,0.7574170515586925
mg,be,0.57,0.8126362526362524
ilo,be,0.65,0.7795044137149401
jbo,be,0.46,0.5579999999999999
fo,be,0.62,0.785829365079365
hak,be,0.31,0.3545
bs,bg,0.652,0.8318839977446015
br,bg,0.514,0.6632274178521856
szl,bg,0.59,0.6744401154401154
cs,bg,0.7021,0.8393675537714779
pl,bg,0.7125,0.853356625259845
he,bg,0.4874,0.7330119789524201
bo,bg,0.1,0.2300238095238095
vo,bg,0.58,0.5968888888888889
vep,bg,0.57,0.7647335179440443
ast,bg,0.779,0.8479057648062291
sw,bg,0.54,0.6270720254891308
yi,bg,0.44,0.7002460317460318
sh,bg,0.5061,0.7500282579228477
ckb,bg,0.507,0.6734193972693974
war,bg,0.52,0.6767142857142858
sco,bg,0.73,0.813011544011544
hy,bg,0.476,0.6678752568123311
io,bg,0.74,0.8200261960261961
es,bg,0.715,0.8258309071664491
pt,bg,0.6996,0.8164145603673932
fur,bg,0.53,0.6468900543900544
so,bg,0.66,0.7255873015873016
lij,bg,0.35,0.5206358918858919
li,bg,0.67,0.764789321789322
lt,bg,0.7305,0.8554249057590158
ceb,bg,0.52,0.6084150294150295
mk,bg,0.746,0.8434509381141734
cbk-zam,bg,0.53,0.7203028083028085
eu,bg,0.5937,0.8070570500397435
tl,bg,0.585,0.7060368545455232
zh,bg,0.3156,0.6608203197816975
lb,bg,0.657,0.7906296755532051
nl,bg,0.7415,0.8553899268945708
ia,bg,0.51,0.650477355977356
as,bg,0.45,0.5827190032190032
hu,bg,0.6981,0.8402457063438796
tk,bg,0.58,0.7294761904761904
ca,bg,0.7896,0.8697337648179134
eml,bg,0.49,0.5708771506271506
ky,bg,0.52,0.7164559884559885
mg,bg,0.36,0.6696782106782105
sk,bg,0.758,0.8674274427894089
hi,bg,0.656,0.7678548007548008
uz,bg,0.777,0.8451627483627483
cv,bg,0.59,0.7661387778887778
pms,bg,0.6,0.7544478397419573
diq,bg,0.5,0.6726940836940838
kk,bg,0.459,0.7568381508842035
fo,bg,0.67,0.8024282106782107
gn,bg,0.49,0.6039126984126983
mt,bg,0.63,0.8445858585858584
ilo,bg,0.69,0.7836810966810969
et,bg,0.688,0.8330932795996574
